Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-26,66.830002,67.160004,66.68,67.129997,45.37606,1465400,0
2013-09-27,66.940002,67.209999,66.410004,66.849998,45.186798,3412300,1
2013-09-30,66.290001,67,65.889999,66.139999,44.706879,3804700,2
2013-10-01,66.150002,67.800003,66,67.099998,45.355782,4416100,3
2013-10-02,66.769997,67.239998,66.449997,67.199997,45.423382,2604000,4
2013-10-03,66.919998,67.059998,65.68,66.029999,44.632515,6150600,5
2013-10-04,66.059998,66.419998,65.529999,65.900002,44.544643,2389200,6
2013-10-07,65.540001,66.470001,65.5,66.199997,44.747425,2267400,7
2013-10-08,66.110001,66.419998,65.470001,65.480003,44.26075,2622000,8
2013-10-09,65.5,66.18,65.400002,65.489998,44.267506,2896600,9
2013-10-10,66.019997,67.220001,66,67.160004,45.396336,2370200,10
2013-10-11,67.050003,67.900002,66.860001,67.830002,45.849216,2111100,11
2013-10-14,67.440002,67.940002,67.260002,67.870003,45.876255,2278000,12
2013-10-15,67.769997,68.190002,67.480003,67.620003,45.70726,3231700,13
2013-10-16,67.900002,68.959999,67.769997,68.889999,46.565727,3066400,14
2013-10-17,68.650002,70.059998,68.529999,69.93,47.268715,3258600,15
2013-10-18,70.300003,70.32,69.459999,69.860001,47.221386,2685200,16
2013-10-21,69.830002,69.879997,69.110001,69.440002,46.937485,2276500,17
2013-10-22,69.5,70.360001,69.449997,70.080002,47.370087,3611600,18
2013-10-23,69.949997,70.25,69.68,70.209999,47.457962,4650000,19
2013-10-24,70.449997,70.449997,69.790001,70.190002,47.44445,1600400,20
2013-10-25,70.360001,71.129997,70.199997,71.050003,48.025757,2213000,21
2013-10-28,71.099998,71.099998,69.949997,70.540001,47.68103,3347400,22
2013-10-29,70.160004,70.540001,69.730003,70.129997,47.403873,3174900,23
2013-10-30,70.040001,70.230003,69.199997,69.540001,47.005085,2466500,24
2013-10-31,69.620003,69.779999,68.660004,69.129997,46.72794,4039600,25
2013-11-01,69.410004,69.699997,68.730003,69.489998,46.971291,3448800,26
2013-11-04,69.860001,69.949997,68.980003,69.620003,47.059151,2640800,27
2013-11-05,69.349998,69.349998,68.349998,68.480003,46.288578,2533800,28
2013-11-06,68.57,69,68.290001,68.379997,46.220989,2256900,29
2013-11-07,68.389999,68.629997,67.379997,67.529999,45.646435,3236900,30
2013-11-08,66.919998,67.220001,65.660004,66.620003,45.031338,3577500,31
2013-11-11,66.5,67.099998,66.449997,66.690002,45.078648,2243000,32
2013-11-12,66.510002,66.650002,65.860001,66.389999,44.875854,2269900,33
2013-11-13,66.290001,66.82,65.959999,66.82,45.166512,2547100,34
2013-11-14,66.989998,67.779999,66.900002,67.290001,45.484219,2483500,35
2013-11-15,67.349998,67.650002,67.139999,67.540001,45.653191,2140300,36
2013-11-18,67.790001,67.800003,67.050003,67.120003,45.369297,1739500,37
2013-11-19,66.980003,67.139999,66.379997,66.650002,45.051605,2202800,38
2013-11-20,66.610001,67.269997,65.650002,65.839996,44.504093,2922700,39
2013-11-21,66.019997,66.510002,65.75,66.349998,44.848824,2998000,40
2013-11-22,66.480003,66.550003,65.739998,66.089996,44.67308,1919400,41
2013-11-25,66.160004,66.209999,65.690002,65.779999,44.46352,2934200,42
2013-11-26,65.93,65.940002,65.400002,65.550003,44.308067,2673400,43
2013-11-27,65.580002,66.160004,65.480003,66.110001,44.686604,2990600,44
2013-11-29,65.830002,66.190002,65.400002,65.5,44.274273,2259600,45
2013-12-02,65.43,65.620003,64.860001,65.120003,44.017414,3659000,46
2013-12-03,64.910004,65.209999,64.709999,64.989998,43.929543,2246800,47
2013-12-04,64.470001,65.690002,64.389999,65.230003,44.091778,3189600,48
2013-12-05,65.169998,65.550003,64.709999,65.459999,44.247242,2622100,49
2013-12-06,65.919998,66.099998,65.610001,65.93,44.564922,2022500,50
2013-12-09,66.260002,66.309998,65.660004,66.25,44.781216,2326100,51
2013-12-10,66.129997,66.510002,66.080002,66.080002,44.666313,2439600,52
2013-12-11,66.089996,66.199997,64.5,64.559998,43.638882,2789100,53
2013-12-12,64.459999,64.599998,63.959999,64.199997,43.395546,2746100,54
2013-12-13,64.43,65.120003,64.190002,64.360001,43.503685,3165400,55
2013-12-16,64.510002,64.75,64.290001,64.580002,43.652412,2571400,56
2013-12-17,64.610001,65.059998,64.360001,64.879997,43.855179,2640100,57
2013-12-18,64.910004,66.089996,64.150002,66.029999,44.632515,4120500,58
2013-12-19,65.839996,65.870003,64.75,65.120003,44.017414,3297500,59
2013-12-20,65.110001,65.580002,64.949997,65.519997,44.287796,3832900,60
